2021-06-14 04:03:19 startup archives unpack
2021-06-14 04:03:19 install cron:amd64 <none> 3.0pl1-134+deb10u1
2021-06-14 04:03:19 status half-installed cron:amd64 3.0pl1-134+deb10u1
2021-06-14 04:03:19 status unpacked cron:amd64 3.0pl1-134+deb10u1
2021-06-14 04:03:19 install exim4-config:all <none> 4.92-8+deb10u6
2021-06-14 04:03:19 status half-installed exim4-config:all 4.92-8+deb10u6
2021-06-14 04:03:19 status unpacked exim4-config:all 4.92-8+deb10u6
2021-06-14 04:03:19 install exim4-base:amd64 <none> 4.92-8+deb10u6
2021-06-14 04:03:19 status half-installed exim4-base:amd64 4.92-8+deb10u6
2021-06-14 04:03:19 status unpacked exim4-base:amd64 4.92-8+deb10u6
2021-06-14 04:03:19 install exim4-daemon-light:amd64 <none> 4.92-8+deb10u6
2021-06-14 04:03:19 status half-installed exim4-daemon-light:amd64 4.92-8+deb10u6
2021-06-14 04:03:19 status unpacked exim4-daemon-light:amd64 4.92-8+deb10u6
2021-06-14 04:03:20 install libgc1c2:amd64 <none> 1:7.6.4-0.4
2021-06-14 04:03:20 status triggers-pending libc-bin:amd64 2.28-10
2021-06-14 04:03:20 status half-installed libgc1c2:amd64 1:7.6.4-0.4
2021-06-14 04:03:20 status unpacked libgc1c2:amd64 1:7.6.4-0.4
2021-06-14 04:03:20 install guile-2.2-libs:amd64 <none> 2.2.4+1-2+deb10u1
2021-06-14 04:03:20 status half-installed guile-2.2-libs:amd64 2.2.4+1-2+deb10u1
2021-06-14 04:03:20 status unpacked guile-2.2-libs:amd64 2.2.4+1-2+deb10u1
2021-06-14 04:03:20 install libidn11:amd64 <none> 1.33-2.2
2021-06-14 04:03:20 status half-installed libidn11:amd64 1.33-2.2
2021-06-14 04:03:20 status unpacked libidn11:amd64 1.33-2.2
2021-06-14 04:03:20 install libntlm0:amd64 <none> 1.5-1+deb10u1
2021-06-14 04:03:20 status half-installed libntlm0:amd64 1.5-1+deb10u1
2021-06-14 04:03:20 status unpacked libntlm0:amd64 1.5-1+deb10u1
2021-06-14 04:03:20 install libgsasl7:amd64 <none> 1.8.0-8+b2
2021-06-14 04:03:20 status half-installed libgsasl7:amd64 1.8.0-8+b2
2021-06-14 04:03:20 status unpacked libgsasl7:amd64 1.8.0-8+b2
2021-06-14 04:03:20 install libkyotocabinet16v5:amd64 <none> 1.2.76-4.2+b1
2021-06-14 04:03:20 status half-installed libkyotocabinet16v5:amd64 1.2.76-4.2+b1
2021-06-14 04:03:20 status unpacked libkyotocabinet16v5:amd64 1.2.76-4.2+b1
2021-06-14 04:03:20 install mailutils-common:all <none> 1:3.5-4
2021-06-14 04:03:20 status half-installed mailutils-common:all 1:3.5-4
2021-06-14 04:03:20 status unpacked mailutils-common:all 1:3.5-4
2021-06-14 04:03:20 install libpython2.7:amd64 <none> 2.7.16-2+deb10u1
2021-06-14 04:03:20 status half-installed libpython2.7:amd64 2.7.16-2+deb10u1
2021-06-14 04:03:20 status unpacked libpython2.7:amd64 2.7.16-2+deb10u1
2021-06-14 04:03:20 install libmailutils5:amd64 <none> 1:3.5-4
2021-06-14 04:03:20 status half-installed libmailutils5:amd64 1:3.5-4
2021-06-14 04:03:20 status unpacked libmailutils5:amd64 1:3.5-4
2021-06-14 04:03:20 install libwrap0:amd64 <none> 7.6.q-28
2021-06-14 04:03:20 status half-installed libwrap0:amd64 7.6.q-28
2021-06-14 04:03:20 status unpacked libwrap0:amd64 7.6.q-28
2021-06-14 04:03:20 install mailutils:amd64 <none> 1:3.5-4
2021-06-14 04:03:20 status half-installed mailutils:amd64 1:3.5-4
2021-06-14 04:03:20 status unpacked mailutils:amd64 1:3.5-4
2021-06-14 04:03:20 install psmisc:amd64 <none> 23.2-1
2021-06-14 04:03:20 status half-installed psmisc:amd64 23.2-1
2021-06-14 04:03:20 status unpacked psmisc:amd64 23.2-1
2021-06-14 04:03:20 startup packages configure
2021-06-14 04:03:20 configure libpython2.7:amd64 2.7.16-2+deb10u1 <none>
2021-06-14 04:03:20 status unpacked libpython2.7:amd64 2.7.16-2+deb10u1
2021-06-14 04:03:20 status half-configured libpython2.7:amd64 2.7.16-2+deb10u1
2021-06-14 04:03:20 status installed libpython2.7:amd64 2.7.16-2+deb10u1
2021-06-14 04:03:20 configure psmisc:amd64 23.2-1 <none>
2021-06-14 04:03:20 status unpacked psmisc:amd64 23.2-1
2021-06-14 04:03:20 status half-configured psmisc:amd64 23.2-1
